name,parent
Unidentified Iranian Manufacturer,Iran Companies
Ireland Companies,"Companies (Competitors, Suppliers, Partners)"
Accenture,Ireland Companies
Lease Corporation International (LCI),Ireland Companies
Waypoint Leasing,Ireland Companies
Israel Companies,"Companies (Competitors, Suppliers, Partners)"
Aeronautics Group,Israel Companies
Airobotics,Israel Companies
APG Aero Systems,Israel Companies
BIRD Aerosystems,Israel Companies
Bluebird Aero Systems,Israel Companies
Cognata,Israel Companies
Controp,Israel Companies
DSIT,Israel Companies
DSraider,Israel Companies
Elbit,Israel Companies
AEL Sistemas,Elbit
Elbit Aerospace Division,Elbit
Elbit Elisra (EMS & SIGINT),Elbit
Elbit ISR & Target Acquisition,Elbit
Elbit Land and C4,Elbit
Elbit Systems of America,Elbit
Harris Night Vision and Communications,Elbit Systems of America
Elbit UK,Elbit
Israel Military Industries (IMI),Elbit
Epsilor,Israel Companies
Eviation,Israel Companies
General Robotics,Israel Companies
Get SAT,Israel Companies
Iron Drone,Israel Companies
Israel Aerospace Industries (IAI),Israel Companies
ELTA Systems,Israel Aerospace Industries (IAI)
ELTA North America,ELTA Systems
IAI Airborne Early Warning Division,ELTA Systems
IAI Imagery Intelligence & Radar Division,ELTA Systems
"IAI Signals Intelligence, Electronic Warfare & Communications Division",ELTA Systems
IAI Technologies Division,ELTA Systems
IAI Civil Aviation,Israel Aerospace Industries (IAI)
IAI Aero-Assemblies Division,IAI Civil Aviation
IAI Aircraft Division,IAI Civil Aviation
IAI Business Jets Division,IAI Civil Aviation
IAI Components Division,IAI Civil Aviation
IAI Engines Division,IAI Civil Aviation
IAI Production Technologies Division,IAI Civil Aviation
IAI Ramta Division,IAI Civil Aviation
IAI Engineering & Development,Israel Aerospace Industries (IAI)
IAI Engineering Division,IAI Engineering & Development
IAI Maman,IAI Engineering & Development
IAI Military Aircraft Group,Israel Aerospace Industries (IAI)
Golan Industries,IAI Military Aircraft Group
IAI-SNC VTOL,IAI Military Aircraft Group
Lahav Division,IAI Military Aircraft Group
Malat Division,IAI Military Aircraft Group
"IAI Systems, Missiles and Space",Israel Aerospace Industries (IAI)
IAI MBT Missiles division,"IAI Systems, Missiles and Space"
IAI MLM Division,"IAI Systems, Missiles and Space"
IAI Space Division,"IAI Systems, Missiles and Space"
IAI Tamam Division,"IAI Systems, Missiles and Space"
Israel Aerospace Industries (IAI) Innovation Center,Israel Aerospace Industries (IAI)
Proteus Advanced Systems,Israel Aerospace Industries (IAI)
Israel Shipyards,Israel Companies
Israel Weapon Industries,Israel Companies
Nano Dimension,Israel Companies
New Rocket Ltd,Israel Companies
Orbit Communication Systems,Israel Companies
Quantum Machines (QM),Israel Companies
RADA Electronic Industries,Israel Companies
Rafael,Israel Companies
Rafael Air & C4ISR Systems,Rafael
Rafael Air Superiority Systems,Rafael
Rafael Land & Naval Systems,Rafael
Rafael Support Divisions,Rafael
Rafael Manor Advanced Defense Technologies Division,Rafael Support Divisions
Rafael Ordnance Systems Division,Rafael Support Divisions
"Rafael Research, Development, and Engineering Division",Rafael Support Divisions
Varley Rafael Australia,Rafael
SemiConductor Devices (SCD),Israel Companies
Silver Shadow Advanced Security Systems (SSASS),Israel Companies
Simplex,Israel Companies
Spacecom,Israel Companies
SpaceIL,Israel Companies
ST Engineering Smart Cities,Israel Companies
Stratasys,Israel Companies
Tactical Robotics,Israel Companies
ThirdEye,Israel Companies
UAS Drone Inc.,Israel Companies
Urban Aeronautics,Israel Companies
UVision Air,Israel Companies
Italy Companies,"Companies (Competitors, Suppliers, Partners)"
Beretta Defense Technologies,Italy Companies
CABI Cattaneo,Italy Companies
Curti Industries,Italy Companies
D-Orbit,Italy Companies
DRASS Defence,Italy Companies
Elettronica,Italy Companies
European Defensive Aids Sub System (EuroDASS) [Consortium],Elettronica
Elytron Aeronautica,Italy Companies
EuroTech,Italy Companies
Fincantieri,Italy Companies
Fincantieri Marinette Marine (FMM),Fincantieri
Gruppo ICM,Italy Companies
BAH   ICM JV,Gruppo ICM
IDS Ingegneria Dei Sistemi S.p.A.,Italy Companies
Leonardo,Italy Companies
ATR,Leonardo
Leonardo Aerostructures,Leonardo
Leonardo Airborne and Space Systems,Leonardo
Selex ES,Leonardo Airborne and Space Systems
European Defensive Aids Sub System (EuroDASS) [Consortium],Selex ES
Leonardo Aircraft,Leonardo
Leonardo Defense Systems,Leonardo
Leonardo DRS,Leonardo
DRS Airborne & Intelligence Systems,Leonardo DRS
DRS Naval Electronics,Leonardo DRS
Leonardo Electronics Division,Leonardo
Leonardo Finmeccanica,Leonardo
Leonardo Helicopters,Leonardo
AgustaWestland,Leonardo Helicopters
NHIndustries,Leonardo Helicopters
Leonardo Land & Naval Defense Electronics,Leonardo
Leonardo Security & Information Systems,Leonardo
Thales Alenia Space,Leonardo
Piaggio Aerospace,Italy Companies
Politecnico di Milano (PoliMi),Italy Companies
Sigma Consulting,Italy Companies
Tecnam,Italy Companies
Vittoria Shipyard / Cantiere Navale Vittoria,Italy Companies
Japan Companies,"Companies (Competitors, Suppliers, Partners)"
ANA Holdings,Japan Companies
Astroscale,Japan Companies
Axelspace,Japan Companies
Fujitsu,Japan Companies
Honda Motor Company,Japan Companies
Honda Aircraft Company,Honda Motor Company
IHI Corporation,Japan Companies
Imabari Shipbuilding,Japan Companies
Interstellar Technologies,Japan Companies
Japan Marine United Corporation,Japan Companies
Kawasaki Heavy Industries,Japan Companies
Komatsu Limited,Japan Companies
Marine United Corporation,Japan Companies
Minebea,Japan Companies
Mitsubishi,Japan Companies
Mitsubishi Electric,Mitsubishi
Mitsubishi Heavy Industries,Mitsubishi
Mitsui E&S Shipbuilding,Japan Companies
Nakanihon Air Service,Japan Companies
NEC Corporation,Japan Companies
NTT Data,Japan Companies
PD Aerospace,Japan Companies
Sekisui Chemical,Japan Companies
Shimadzu,Japan Companies
Sky Perfect JSAT,Japan Companies
SkyDrive,Japan Companies
